event_time,transaction_id,customer_id,merchant_id,device_id,amount,currency,mcc,country,channel,is_international,is_card_present,merchant_risk_score,customer_risk_score,velocity_1h,velocity_24h,label
2026-01-16T10:42:35.700447+00:00,tx_00000000,339,18,41,33.542024032911776,CNY,5999,CN,inapp,0,0,0.2600359569555893,0.2385662031508182,0,6,0
2026-02-05T23:41:51.700447+00:00,tx_00000001,219,361,273,6.6296531270832215,EUR,6011,RU,inapp,0,1,0.5737131890045912,0.1205204272815375,1,6,0
2026-02-02T09:44:26.700447+00:00,tx_00000002,521,107,95,159.79466965159517,GBP,4829,DE,pos,1,1,0.3907572524007113,0.3836243686167102,1,2,1
2026-01-26T22:26:29.700447+00:00,tx_00000003,663,356,147,6.042842323891264,EUR,5812,CN,ecomm,1,1,0.1068036672613176,0.5151521421065025,1,3,0
2026-01-26T18:13:12.700447+00:00,tx_00000004,262,283,140,40.8891447406061,KGS,5812,CN,pos,0,1,0.4129745739532305,0.4388697242294299,0,1,0
2026-02-08T12:38:22.700447+00:00,tx_00000005,767,102,236,51.85242537414982,GBP,6011,US,pos,0,1,0.1398916357340243,0.4125066948194396,1,2,0
2026-01-16T08:19:48.700447+00:00,tx_00000006,639,235,263,4.92436158549008,CNY,5732,US,ecomm,0,1,0.4088498201115101,0.1675114196468138,1,1,0
2026-02-03T16:33:14.700447+00:00,tx_00000007,167,19,15,10.97155666840369,CNY,4829,DE,pos,0,1,0.5496985435586318,0.2456283711021027,1,2,0
2026-01-19T19:30:26.700447+00:00,tx_00000008,939,351,328,13.370789632862516,RUB,4814,RU,pos,0,0,0.3739642263109038,0.2101531920411124,1,3,0
2026-01-16T14:15:24.700447+00:00,tx_00000009,44,152,150,377.7913516930788,KGS,4111,KZ,pos,0,1,0.6726057703324064,0.4459359766078458,0,5,1
2026-01-29T13:30:50.700447+00:00,tx_00000010,654,192,266,13.186334942058563,KZT,4829,KZ,ecomm,0,0,0.1417412948820648,0.304612206802674,0,1,0
2026-02-12T00:53:50.700447+00:00,tx_00000011,440,79,226,5.904022072179221,CNY,5812,TR,ecomm,0,0,0.4779777450438046,0.4745927670072247,0,0,0
2026-02-04T20:11:27.700447+00:00,tx_00000012,654,183,73,25.59943346293648,AED,6536,TR,pos,0,1,0.3047818643258191,0.3718309927944221,3,6,0
2026-02-05T14:28:11.700447+00:00,tx_00000013,775,198,166,6.406003077467806,RUB,6011,KG,ecomm,0,1,0.1887007018307558,0.1445246472948275,1,4,0
2026-02-04T07:01:58.700447+00:00,tx_00000014,688,113,209,15.55855058763266,RUB,5999,US,ecomm,0,1,0.580676971460649,0.0292725685635965,1,4,0
2026-02-06T08:24:55.700447+00:00,tx_00000015,651,490,218,10.919543628634736,USD,6536,KZ,pos,0,0,0.3153748619493369,0.6539976633968395,2,5,0
